label,text,fullname,replies,retweet,likes
FAKE,ডায়াবেটিস রুগীদের ডায়াবেটিস থেকে কিভাবে ওষুধ ছাড়াই  ভালো থাকবেন।,,,,
REAL,"মায়ের ডায়াবেটিসে নবজাতকের ঝুঁকি দ্বিগুণ
#ইত্তেফাক #নিউজ #ittefaq #ডায়াবেটিস
",,,,
REAL,"যাদের বয়স এবং লম্বা হিসাবের চেয়ে 
ওজন বেশি তাদের #হার্টে সমস্যা হবে 
এবং #ডায়াবেটিস হওয়ার সম্ভাবনা থাকে",,,,
REAL,ডায়াবেটিস রোগীরা কেন ঝুঁকিতে জেনে নিন,,,,
REAL,"হৃদরোগ, ডায়াবেটিস, শ্বাসতন্ত্রের রোগ এবং হাইপারটেনশনে আক্রান্ত ব্যক্তিরা করোনাভাইরাস সংক্রমণের ঝুঁকিতে রয়েছেন বলে জানিয়েছেন চীনের রোগ নিয়ন্ত্রণ ও সুরক্ষা কেন্দ্র
",,,,
REAL,চিনি ছাড়া চা ডায়াবেটিস কমায়,,,,
REAL,"ডায়াবেটিস প্রতিরোধে ব্ল্যাক টি 
 #ইত্তেফাক #ittefaq #ডায়াবেটিস
",,,,
REAL,ডায়াবেটিস কমাতে তেজপাতা খান,,,,
FAKE,"শুধু স্বল্প শর্করাযুক্ত খাবার কমাতে পারে ডায়াবেটিসের ঝুঁকি 
#ডায়াবেটিস #শর্করা #স্বাস্থ্যকরখাবার #বাংলাডায়েট ",,,,
REAL,প্রতিদিন বীট জুস পানের ১২টি উপকারিতা #বীট #বীটজুস #ডায়াবেটিস #হৃদরোগ #যৌনশক্তি,,,,
REAL,ডায়াবেটিস থেকে চর্ম রোগ ও করনীয়,,,,
FAKE,ডায়াবেটিস-ক্যানসার প্রতিরোধ করে কালো চালের ভাত,,,,
REAL,Ten Bad Habits Responsible for Diabetes ডায়াবেটিস ডেকে আনে যে ১০ বদভ্যাস,,,,
REAL,যে পাঁচ লক্ষণ দেখে বুঝবেন ডায়াবেটিস হতে যাচ্ছে,,,,
